T_K,t,H,M
31.2,-0.04994,0,0.331914
31.2,-0.04994,0.0020219,0.362684
31.2,-0.04994,0.00556094,0.393453
31.2,-0.04994,0.0107014,0.424222
31.2,-0.04994,0.0175788,0.454991
31.2,-0.04994,0.0267797,0.485761
31.2,-0.04994,0.0384221,0.51653
31.2,-0.04994,0.0524945,0.547299
31.2,-0.04994,0.0711651,0.578068
31.2,-0.04994,0.0926828,0.608838
31.2,-0.04994,0.117869,0.639607
31.2,-0.04994,0.148689,0.670376
31.2,-0.04994,0.185147,0.701145
31.2,-0.04994,0.226112,0.731914
31.2,-0.04994,0.274273,0.762684
31.2,-0.04994,0.327523,0.793453
31.2,-0.04994,0.394115,0.824222
31.2,-0.04994,0.464921,0.854991
31.2,-0.04994,0.54624,0.885761
31.2,-0.04994,0.631523,0.91653
31.2,-0.04994,0.744208,0.947299
31.2,-0.04994,0.852209,0.978068
31.2,-0.04994,0.975684,1.00884
31.2,-0.04994,1.12845,1.03961
31.2,-0.04994,1.27084,1.07038
31.2,-0.04994,1.43017,1.10115
31.8,-0.03167,5.53451e-22,0.280693
31.8,-0.03167,0.00123617,0.311462
31.8,-0.03167,0.003548,0.342232
31.8,-0.03167,0.00693814,0.373001
31.8,-0.03167,0.0117085,0.40377
31.8,-0.03167,0.0182972,0.434539
31.8,-0.03167,0.0263795,0.465309
31.8,-0.03167,0.0373848,0.496078
31.8,-0.03167,0.0500998,0.526847
31.8,-0.03167,0.0667846,0.557616
31.8,-0.03167,0.0863407,0.588386
31.8,-0.03167,0.111461,0.619155
31.8,-0.03167,0.140087,0.649924
31.8,-0.03167,0.171727,0.680693
31.8,-0.03167,0.211542,0.711462
31.8,-0.03167,0.255155,0.742232
31.8,-0.03167,0.307688,0.773001
31.8,-0.03167,0.364229,0.80377
31.8,-0.03167,0.428746,0.834539
31.8,-0.03167,0.503462,0.865309
31.8,-0.03167,0.594308,0.896078
31.8,-0.03167,0.696358,0.926847
31.8,-0.03167,0.796286,0.957616
31.8,-0.03167,0.911426,0.988386
31.8,-0.03167,1.05534,1.01915
31.8,-0.03167,1.19213,1.04992
31.8,-0.03167,1.35159,1.08069
32.2,-0.01949,0,0.234767
32.2,-0.01949,0.000751416,0.265537
